species,pc.known,pc.inferred,pc.region,ref
Nothocercus_bonapartei,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Nothocercus_julius,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Nothocercus_nigrocapillus,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_berlepschi,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_cinereus,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_soui,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_ptaritepui,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_obsoletus,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_cinnamomeus,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_undulatus,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_transfasciatus,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_strigulosus,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_boucardi,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_kerriae,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_erythropus,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_duidae,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_noctivagus,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_atrocapillus,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_variegatus,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_brevirostris,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_bartletti,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_parvirostris,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_casiquiare,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Crypturellus_tataupa,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Rhynchotus_rufescens,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Nothoprocta_taczanowskii,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Nothoprocta_kalinowskii,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Nothoprocta_ornata,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Nothoprocta_pentlandii,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Nothoprocta_cinerascens,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Nothoprocta_perdicaria,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Nothoprocta_curvirostris,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Nothura_darwinii,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Nothura_chacoensis,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Nothura_maculosa,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Nothura_minor,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Nothura_boraquira,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Taoniscus_nanus,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Eudromia_elegans,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Eudromia_formosa,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Tinamotis_pentlandii,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Tinamotis_ingoufi,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Alectura_lathami,Male only,Male only,Australia,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Aepypodius_arfakianus,Male only,Male only,Australia,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Aepypodius_bruijnii,Unknown,Male only,Australia,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Talegalla_cuvieri,Unknown,Pair,Australia,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Talegalla_fuscirostris,Unknown,Pair,Australia,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Talegalla_jobiensis,Unknown,Pair,Australia,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Leipoa_ocellata,Pair,Pair,Australia,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Macrocephalon_maleo,Geothermal,Geothermal,Australia,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Megapodius_nicobariensis,Pair,Pair,Indomalayan,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Megapodius_cumingii,Unknown,Pair,Indomalayan,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Megapodius_bernsteinii,Unknown,Pair,Indomalayan,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Megapodius_reinwardt,Unknown,Pair,Australia,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Megapodius_freycinet,Unknown,Pair,Australia,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Megapodius_affinis,Unknown,Pair,Australia,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Megapodius_eremita,Geothermal,Geothermal,Australia,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Megapodius_layardi,Unknown,Pair,Australia,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Megapodius_laperouse,Geothermal,Geothermal,Australia,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Megapodius_pritchardii,Geothermal,Geothermal,Australia,"Göth A,  Vogel U (2004) Is monogamy in the Polynesian megapode (Megapodius pritchardii) related to its high relative egg-weight. Auk  121: 308-317."
Eulipoa_wallacei,Geothermal,Geothermal,Australia,"Jones DN, Dekker RWRJ, Roselaar CS (1995) The Megapodes: Megapodiidae. Oxford University Press: Oxford. "
Chamaepetes_unicolor,Pair,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Chamaepetes_goudotii,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelopina_nigra,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelope_argyrotis,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelope_barbata,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelope_ortoni,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelope_montagnii,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelope_marail,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelope_superciliaris,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelope_dabbenei,Pair,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelope_purpurascens,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelope_perspicax,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelope_albipennis,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelope_jacquacu,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelope_obscura,Pair,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelope_pileata,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelope_ochrogaster,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Penelope_jacucaca,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Pipile_pipile,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Pipile_cumanensis,Pair,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Pipile_cujubi,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Pipile_jacutinga,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Aburria_aburri,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Ortalis_vetula,Occasional,Pair,Neotropical,"Peterson MJ (2001) Plain chachalaca.  in Birds of North America: Life Histories for the Twenty-First Century. (ed. Poole A, Stettenheim P,  Gill F)  p. 1-24. American Ornithologist's Union and Academy of Natural Sciences, Philadelphia: Washington, D.C."
Ortalis_cinereiceps,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Ortalis_garrula,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Ortalis_ruficauda,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Ortalis_erythroptera,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Ortalis_wagleri,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Ortalis_poliocephala,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Ortalis_canicollis,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Ortalis_leucogastra,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Ortalis_guttata,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Ortalis_motmot,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Ortalis_superciliaris,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Oreophasis_derbianus,Female only,Female only,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Crax_rubra,Pair,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Crax_alberti,Unknown,Pair,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Crax_daubentoni,Female only,Female only,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
Crax_alector,Unknown,Female only,Neotropical,"del Hoyo J (1994) Family Cracidae (Chachalacas, guans and curassows).  in Handbook of the birds of the world. Vol. 2. New world vultures to guineafowl. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 310-363. Lynx edicions: Barcelona."
